Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,A,B,Bridge,ED,Meta Description,Meta Features,Lens Color,Frame Colo,SKU,Lifestyle,Fit,Category,Gender,Frame Material,Shape,Mount,Polar/Non Polar,Lens Material
liberty-sport-shift-xl,,,,,,,,Matte Black/Cyan,,,,,6569,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_mb_5717135_csf_product136_adjusted_480x480.jpg,2,[Matte Black/Cyan],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_mb_5717135_csf_product136_adjusted_480x480.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift-xl,,,,,,,,Matte Navy/Green,,,,,6575,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_mn_5717135_csf_product136_adjusted_480x480.png,3,[Matte Navy/Green],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/l/i/liberty_sshiftxl_mn_5717135_csf_product136_adjusted_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift-xl,,,,,,,,Shiny Crimson/White,,,,,6581,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_crimson_43b07654-bef4-4ab6-b694-6029c25b1636_480x480_1.jpg,4,[Shiny Crimson/White],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_crimson_43b07654-bef4-4ab6-b694-6029c25b1636_480x480_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-sport-shift-xl,,,,,,,,Shiny Navy/White,,,,,6578,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_shiny_navy_473ca4a4-811f-4feb-8a96-dceb4df01d04_480x480_1.jpg,5,[Shiny Navy/White],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/p/sport_shift_patriot_shiny_navy_473ca4a4-811f-4feb-8a96-dceb4df01d04_480x480_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-xl,Liberty Slam Xl,<p>Rx protective sports glasses with patented eye rim assembly design allowing a wide range of prescription lens powers â€“ meets ASTM F803 standard specifications.</p>,Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Matte Black/Black,Frame Color-Navy Blue/Dark Grey,Frame Color-Shiny Black/Grey,Frame Color-Shiny Black/Cyan,Frame Color-Shiny Gunmetal/Black, Lens Color-Black,Lens Color-Dark Grey,Lens Color-Grey,Lens Color-Cyan,Lens Color-Black",True,Frame Color/Lens Color,Matte Black/Black,,,,,6388,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_matte_black_-_black_480x480.png,1,[Matte Black/Black],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_matte_black_-_black_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-xl,,,,,,,,Navy Blue/Dark Grey,,,,,6394,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_navy_blue_-_dark_grey_480x480.png,2,[Navy Blue/Dark Grey],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_navy_blue_-_dark_grey_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-xl,,,,,,,,Shiny Black/Grey,,,,,6385,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_black_-_grey_480x480.png,3,[Shiny Black/Grey],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_black_-_grey_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-xl,,,,,,,,Shiny Black/Cyan,,,,,6397,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_black_-_cyan_480x480.png,4,[Shiny Black/Cyan],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_black_-_cyan_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-xl,,,,,,,,Shiny Gunmetal/Black,,,,,6391,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_gunmetal_-_black_480x480.png,5,[Shiny Gunmetal/Black],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_xl_shiny_gunmetal_-_black_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam,Liberty Slam,<p>Prescription lens sports eyewar in sculpted Slam design with coordinating interior temple padding that meets or exceeds ASTM F803 standards for several sports.</p>,Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Matte Black/Red,Frame Color-Navy Blue/Orange,Frame Color-Shiny Black/Grey,Frame Color-Shiny Grey/Orange,Frame Color-Shiny Navy/Green, Lens Color-Red,Lens Color-Orange,Lens Color-Grey,Lens Color-Orange,Lens Color-Green",True,Frame Color/Lens Color,Matte Black/Red,,,,,6029,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_matte_black_-_red_761bbe6d-ee47-44b7-88c9-a02d7eab09ea.png,1,[Matte Black/Red],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_matte_black_-_red_761bbe6d-ee47-44b7-88c9-a02d7eab09ea.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam,,,,,,,,Navy Blue/Orange,,,,,6017,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_navy_blue_-_orange_15d95c6e-6db0-4cb9-987e-22dea9368856.png,2,[Navy Blue/Orange],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_navy_blue_-_orange_15d95c6e-6db0-4cb9-987e-22dea9368856.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam,,,,,,,,Shiny Black/Grey,,,,,6005,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_black_-_grey_bff7b15c-c081-4ebb-b703-13a30d191981.png,3,[Shiny Black/Grey],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_black_-_grey_bff7b15c-c081-4ebb-b703-13a30d191981.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam,,,,,,,,Shiny Grey/Orange,,,,,6020,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_grey_-_orange_b47695b5-989e-466d-b356-741f3e2fd515.png,4,[Shiny Grey/Orange],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_grey_-_orange_b47695b5-989e-466d-b356-741f3e2fd515.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam,,,,,,,,Shiny Navy/Green,,,,,6011,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_navy_-_green_6c7b598f-a666-4948-bcf1-a9f0891f6ef3.png,5,[Shiny Navy/Green],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slam_shiny_navy_-_green_6c7b598f-a666-4948-bcf1-a9f0891f6ef3.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-patriot,Liberty Slam Patriot,<p>Prescription lens sports eyewar in sculpted Slam design with coordinating interior temple padding that meets or exceeds ASTM F803 standards for several sports.</p>,Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Matte Navy/White,Frame Color-Shiny Crimson/White, Lens Color-White,Lens Color-White",True,Frame Color/Lens Color,Matte Navy/White,,,,,6375,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slampatriot4_1.jpg,1,[Matte Navy/White],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slampatriot4_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-patriot,,,,,,,,Shiny Crimson/White,,,,,6381,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slampatriot12_1.jpg,2,[Shiny Crimson/White],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slampatriot12_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-goggle-xl,Liberty Slam Goggle Xl,"<p>The Slam Goggle XL prescription sports goggles meets or exceeds ASTM F803 spec standards for basketball, baseball, soccer, field hockey, women's lacrosse and racket sports.</p>",Liberty,Goggles,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Male, Shape-XXXXX, Frame Color-Shiny Black/Grey,Frame Color-Shiny Gunmetal/Black, Lens Color-Grey,Lens Color-Black",True,Frame Color/Lens Color,Shiny Black/Grey,,,,,6365,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slamgoggle_shinyblack_1_480x480.jpg,1,[Shiny Black/Grey],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slamgoggle_shinyblack_1_480x480.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-slam-goggle-xl,,,,,,,,Shiny Gunmetal/Black,,,,,6368,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slamgogglexl_shinygunmetal_480x480.jpg,2,[Shiny Gunmetal/Black],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/l/slamgogglexl_shinygunmetal_480x480.jpg,lb,,,,,,,,,,,,,,,,,,,,
